epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.620456247913594,4.618852722772277,0.8277227722772277,5.085148514851485
1,4.568945141876636,4.241728650990099,6.304950495049505,21.02970297029703
2,4.461008921772445,4.016893873762376,9.465346534653465,27.536633662913104
3,4.379050335916532,3.850996905940594,11.73069306930693,32.348514851088574
4,4.294700174915548,3.5494534344059407,18.194059405978365,42.689108913006166
5,4.234312088311124,3.4993623143564356,19.88118811881188,43.615841583629646
6,4.177715488031608,3.1781229888613862,25.4653465380527,53.24752475519463
7,4.103199439794839,3.0646769801980196,26.978217820989023,55.120792071654066
8,4.056263696579706,3.090839573019802,27.441584161890614,54.25742576191213
9,3.9890396221965347,2.744123298267327,33.655445547727076,63.655445538209214
10,3.932896069117955,2.7468443688118813,34.665346532538386,63.63960394770556
11,3.9126925436006923,2.5594224938118812,38.54653464968842,68.08712871710145
12,3.897260227981879,2.5927581992574256,37.86930692691614,66.63366337419265
13,3.8388524833990605,2.3933369430693068,42.562376234148985,71.62376238016563
14,3.8255504053466174,3.0323199257425744,27.196039607133017,57.09306931025439
15,3.786298474486993,2.288962871287129,44.16633664726031,72.54653463473178
16,3.767895627183979,2.2611321163366336,44.376237620287604,74.08712872133161
17,3.7642685766933726,2.2504873143564357,46.89900989706209,75.24752473374168
18,3.7732734193607254,2.2450023205445544,46.24950494263904,74.57425743420289
19,3.6639209555930834,2.483627629950495,39.671287128561794,68.16237624517761
20,3.691506032230092,2.162144337871287,47.42574258513498,76.29306931599533
21,3.5899316648236748,2.033628712871287,49.6633663463026,76.99405942165261
22,3.5962083745164937,2.232963954207921,47.02178218788676,75.14851485994546
23,3.627973438120213,2.281748917079208,44.06336634146813,73.16039602147471
24,3.5775822474032033,1.9535606435643564,53.32277228417727,80.29702970176167
25,3.572092730982774,1.9272779238861386,53.203960399665455,80.39207921698542
26,3.5658976723547697,1.9670190284653466,52.08712870592174,78.96237622191174
27,3.5335200887148073,1.9960507425742575,53.15247524782691,79.98415842188467
28,3.5414917988031087,1.930977103960396,53.22376237321608,80.09900988225654
29,3.561595748070957,1.9877670173267328,52.28910890484801,78.7168316680606
30,3.5185979401984184,2.0464498762376238,51.80594059375725,78.39603961302502
31,3.564915978178686,2.2320355816831685,45.390099009598835,74.14653466252997
32,3.526615741301556,1.8682664758663365,55.47326733005637,81.39801978324664
33,3.476935492080896,1.9842284189356436,52.75643565867207,79.19999998187075
34,3.4873137798439076,2.212980739480198,47.603960393320214,75.25940593273805
35,3.460913885207403,1.8659023050742574,55.2000000105754,81.42970298661336
36,3.532713445676427,1.8175778155940594,57.00990100158087,82.3762376400787
37,3.515114719364919,1.8110476485148514,58.05544554938892,83.52871286343112
38,3.5215360647967073,2.0242321318069307,51.70693069034992,78.3049504799418
39,3.5389101959410167,1.8829256652227724,55.65940592125619,81.25544557174834
40,3.4575873215993247,1.9358087097772276,55.16435643292417,80.68118811760327
41,3.4957983850621854,1.828772431930693,55.1920792157768,81.79009903346902
42,3.496177323010503,1.9870675278465346,53.27524753593218,80.25742576614229
43,3.443138969187834,1.7990473391089108,56.87524754711189,82.63366336573233
44,3.4967052449985427,1.7986610457920793,56.257425754660424,82.55445544494025
45,3.430505181656403,1.6544954362623763,59.61188118872312,84.45544552582089
46,3.4411273083719265,1.8309671256188118,58.19009901836131,83.41782179909886
47,3.4075173374746934,1.7435181775990098,57.489108936876356,82.87128715590676
48,3.3534664345436354,1.714273089418317,58.67722773908861,83.69108911555828
49,3.4256756743606256,1.8110529857673268,59.08118813029374,83.75841582647645
50,3.449163399586061,1.724078589108911,58.83168317587069,83.95643564598159
51,3.3889391373614877,1.688324566831683,59.91287128894164,84.09108911193243
52,3.38137732882078,1.7966902846534654,58.823762384093634,83.82970295518932
53,3.367648664785891,1.66248948019802,60.59009898995881,84.66138614465694
54,3.4030303614480153,1.7710407642326733,58.4871287101519,83.42574256579711
55,3.3915654412743184,1.7253792543316833,59.813861377073984,84.32475246739152
56,3.373611038233958,1.8831612004950495,56.66534651471129,81.96435642778755
57,3.409819169920318,1.779000541460396,59.299009923349516,83.53267325282333
58,3.3083425719721786,1.63314317759901,60.87524754711189,84.9663366294332
59,3.3679852615408348,1.5810497756806932,61.59999999516553,85.58415840496403
60,3.3764068642441107,1.764065671410891,56.423762394971185,82.03960394166248
61,3.3906719960322995,1.7474105816831682,59.203960414773164,83.02574256277556
62,3.411964787917883,1.8074726949257425,57.22376237382039,82.64158414693398
63,3.357053717788385,2.207480816831683,47.62772276532768,74.95445545763073
64,3.3419892479773283,1.5565525216584157,62.21386136982228,85.809900982243
65,3.3900672513611463,2.037247060643564,51.73465347561978,78.49900990945042
66,3.361525548558657,1.6676599628712871,60.669306953052484,84.79603961362933
67,3.3698653331419237,1.611391166460396,61.27128712266979,85.73861387105508
68,3.302183892451176,1.6424637221534653,60.625742561566945,85.07722774996616
69,3.3424240277737987,1.724418162128713,59.05346535136912,83.59603959247853
70,3.2437969259664317,1.7330790532178217,58.9900990322604,83.77821784897606
71,3.2987827524846915,1.5403368657178218,64.13465348105855,86.95445543104115
72,3.2717282415247286,1.611873917079208,61.798019814066365,85.86534656184735
73,3.2774799632377367,1.5074108137376239,64.26138615372157,87.11683167893815
74,3.3333967397002136,1.9902353032178217,51.98415842279113,78.56633665964863
75,3.3775406045978573,1.568063969678218,63.552475231812736,86.61386137526107
76,3.296780203475433,1.8290899597772277,55.477227723980896,81.73465345749052
